# ==================================================================
# Fastrad - RAY-TRACING - TID
# 
# TOTAL IONIZING DOSE CALCULATION RESULTS			 2018/12/05	15:25:36
# 
# Doses in krad (Si)
#
# Method : Slant Path
#
# ==================================================================
#
# Dose calculation with Double Slab Dose Curve
#
# Common Format (Total dose) :  [ mm , rad ]
# Electrons : C:\Users\Gebruiker\Documents\MSc Space Engineering\Thesis\SPENVIS orbit output\SAPPHIRE as input\Solar Maximum\1-in-n-year SPE\n=100\SolarMaximum_SPE_1_in_100_years_Sapphire_dosedepth.dat
#
#
#  N°  |   Total Dose |         Name         |
#      |    krad (Si) |                      |
 00103 |  5.330e+000  | (0, 0, 49)           |
 00104 |  5.266e+000  | (85.125, 0, 49)      |
 00105 |  4.945e+000  | (169.25, 0, 49)      |
 00106 |  5.152e+000  | (0, 56.575, 49)      |
 00107 |  5.138e+000  | (85.125, 56.575, 49) |
 00108 |  4.892e+000  | (169.25, 56.575, 49) |
 00109 |  5.008e+000  | (0, 112.15, 49)      |
 00110 |  4.961e+000  | (85.125, 112.15, 49) |
 00111 |  5.256e+000  | (169.25, 112.15, 49) |
 00112 |  9.004e+001  | Outside (Positive X) |
 00113 |  4.698e+000  | (0,0,0)              |
 00114 |  4.742e+000  | (85.125, 0, 0)       |
 00115 |  4.579e+000  | (169.25, 0, 0)       |
 00116 |  5.910e+000  | (0, 56.575, 0)       |
 00117 |  6.062e+000  | (85.125, 56.575, 0)  |
 00118 |  4.745e+000  | (169.25, 56.575, 0)  |
 00119 |  5.958e+000  | (0, 112.15, 0)       |
 00120 |  6.058e+000  | (85.125, 112.15, 0)  |
 00121 |  4.721e+000  | (169.25, 112.15,0)   |
 00122 |  4.660e+000  | (0, 0, 25)           |
 00123 |  4.674e+000  | (85.125, 0, 25)      |
 00124 |  4.571e+000  | (169.25, 0, 25)      |
 00125 |  5.730e+000  | (0, 56.575, 25)      |
 00126 |  5.811e+000  | (85.125, 56.575, 25) |
 00127 |  4.668e+000  | (169.25, 56.575, 25) |
 00128 |  5.775e+000  | (0, 112.15, 25)      |
 00129 |  5.816e+000  | (85.125, 112.15, 25) |
 00130 |  4.652e+000  | (169.25, 112.15, 25) |
 00131 |  4.905e+000  | (0, 0, 49)           |
 00132 |  4.858e+000  | (85.125, 0, 49)      |
 00133 |  5.116e+000  | (169.25, 0, 49)      |
 00134 |  5.156e+000  | (0, 56.575, 49)      |
 00135 |  5.141e+000  | (85.125, 56.575, 49) |
 00136 |  4.894e+000  | (169.25, 56.575, 49) |
 00137 |  5.330e+000  | (0, 112.15, 49)      |
 00138 |  5.266e+000  | (85.125, 112.15, 49) |
 00139 |  4.945e+000  | (169.25, 112.15, 49) |
 00140 |  9.048e+001  | Outside (Positive X) |
 00141 |  5.958e+000  | (0,0,0)              |
 00142 |  6.058e+000  | (85.125, 0, 0)       |
 00143 |  4.721e+000  | (169.25, 0, 0)       |
 00144 |  5.914e+000  | (0, 56.575, 0)       |
 00145 |  6.065e+000  | (85.125, 56.575, 0)  |
 00146 |  4.747e+000  | (169.25, 56.575, 0)  |
 00147 |  4.698e+000  | (0, 112.15, 0)       |
 00148 |  4.742e+000  | (85.125, 112.15, 0)  |
 00149 |  4.680e+000  | (169.25, 112.15,0)   |
 00150 |  5.775e+000  | (0, 0, 25)           |
 00151 |  5.816e+000  | (85.125, 0, 25)      |
 00152 |  4.652e+000  | (169.25, 0, 25)      |
 00153 |  5.727e+000  | (0, 56.575, 25)      |
 00154 |  5.809e+000  | (85.125, 56.575, 25) |
 00155 |  4.666e+000  | (169.25, 56.575, 25) |
 00156 |  4.659e+000  | (0, 112.15, 25)      |
 00157 |  4.673e+000  | (85.125, 112.15, 25) |
 00158 |  4.671e+000  | (169.25, 112.15, 25) |
 00159 |  5.330e+000  | (0, 0, 49)           |
 00160 |  5.266e+000  | (85.125, 0, 49)      |
 00161 |  4.945e+000  | (169.25, 0, 49)      |
 00162 |  5.152e+000  | (0, 56.575, 49)      |
 00163 |  5.138e+000  | (85.125, 56.575, 49) |
 00164 |  4.892e+000  | (169.25, 56.575, 49) |
 00165 |  5.008e+000  | (0, 112.15, 49)      |
 00166 |  4.961e+000  | (85.125, 112.15, 49) |
 00167 |  5.256e+000  | (169.25, 112.15, 49) |
 00168 |  9.004e+001  | Outside (Positive X) |
 00169 |  5.958e+000  | (0,0,0)              |
