# ==================================================================
# Fastrad - RAY-TRACING - TID
# 
# TOTAL IONIZING DOSE CALCULATION RESULTS			 2018/12/03	18:19:14
# 
# Doses in krad (Si)
#
# Method : Slant Path
#
# ==================================================================
#
# Dose calculation with Solid Sphere Dose Curve
#
# Common Format (Total dose) :  [ mm , rad ]
# Electrons : C:\Users\Gebruiker\Documents\MSc Space Engineering\Thesis\SPENVIS orbit output\SAPPHIRE as input\Solar Maximum\1-in-n-year SPE\n=100\SolarMaximum_SPE_1_in_100_years_Sapphire_dosedepth.dat
#
#
#  N°  |   Total Dose |   Name   |
#      |    krad (Si) |          |
 00153 |  9.929e+001  | Detector |
 00154 |  9.863e+001  | Detector |
 00155 |  9.782e+001  | Detector |
 00156 |  9.822e+001  | Detector |
 00157 |  9.843e+001  | Detector |
 00158 |  9.774e+001  | Detector |
 00159 |  9.757e+001  | Detector |
 00160 |  9.694e+001  | Detector |
 00161 |  9.669e+001  | Detector |
 00162 |  9.620e+001  | Detector |
 00163 |  9.599e+001  | Detector |
 00164 |  9.608e+001  | Detector |
 00165 |  9.591e+001  | Detector |
 00166 |  9.573e+001  | Detector |
 00167 |  9.573e+001  | Detector |
 00168 |  9.548e+001  | Detector |
 00169 |  1.184e+002  | Detector |
 00170 |  1.361e+002  | Detector |
 00171 |  1.078e+002  | Detector |
 00172 |  1.032e+002  | Detector |
 00173 |  1.008e+002  | Detector |
 00174 |  9.941e+001  | Detector |
 00175 |  9.879e+001  | Detector |
 00176 |  9.785e+001  | Detector |
 00177 |  9.805e+001  | Detector |
 00178 |  9.790e+001  | Detector |
 00179 |  9.774e+001  | Detector |
 00180 |  9.686e+001  | Detector |
 00181 |  9.686e+001  | Detector |
 00182 |  9.643e+001  | Detector |
 00183 |  9.644e+001  | Detector |
 00184 |  9.612e+001  | Detector |
 00185 |  9.577e+001  | Detector |
 00186 |  9.583e+001  | Detector |
 00187 |  9.556e+001  | Detector |
 00188 |  9.537e+001  | Detector |
 00189 |  9.519e+001  | Detector |
 00190 |  1.184e+002  | Detector |
 00191 |  1.363e+002  | Detector |
 00192 |  1.077e+002  | Detector |
 00193 |  1.032e+002  | Detector |
 00194 |  1.010e+002  | Detector |
 00195 |  9.922e+001  | Detector |
 00196 |  9.882e+001  | Detector |
 00197 |  9.809e+001  | Detector |
 00198 |  9.826e+001  | Detector |
 00199 |  9.837e+001  | Detector |
 00200 |  9.746e+001  | Detector |
 00201 |  9.731e+001  | Detector |
 00202 |  9.668e+001  | Detector |
 00203 |  9.687e+001  | Detector |
 00204 |  9.656e+001  | Detector |
 00205 |  9.611e+001  | Detector |
 00206 |  9.615e+001  | Detector |
 00207 |  9.597e+001  | Detector |
 00208 |  9.569e+001  | Detector |
 00209 |  9.539e+001  | Detector |
 00210 |  9.531e+001  | Detector |
 00211 |  1.184e+002  | Detector |
 00212 |  1.359e+002  | Detector |
 00213 |  1.081e+002  | Detector |
 00214 |  1.033e+002  | Detector |
 00215 |  1.013e+002  | Detector |
 00216 |  9.981e+001  | Detector |
