# ==================================================================
# Fastrad - SECTOR FILE			 2018/12/04	14:37:25
# Thickness in millimeter
#
# Number of selected detectors = 28
# Selected detectors:	1 2 3 4 5 6 7 8 9 10 
#						11 12 13 14 15 16 17 18 19 20 
#						21 22 23 24 25 26 27 28 
# ==================================================================
# 
# DETECTOR 00001 : "(0,0,0)" (     0.00000      0.00000      0.00000)
1800 60 30
 1   14.835112°   6.000000°
      2.425287      2.425287      2.425287      2.425287      2.425287      2.425287      2.425287      2.425287      2.425287      2.425287
      2.425287      2.425287      2.425287      2.425287      2.425287      2.425287      2.425287      2.425287      2.425287      2.425287
      2.425287      2.425287      2.425287      2.425287      2.425287      2.425287      2.425287      2.425287      2.425287      2.425287
      2.425287      2.425287      2.425287      2.425287      2.425287      2.425287      2.425287      2.425287      2.425287      2.425287
      2.425287      2.425287      2.425287      2.425287      2.425287      2.425287      2.425287      2.425287      2.425287      2.425287
      2.425287      2.425287      2.425287      2.425287      2.425287      2.425287      2.425287      2.425287      2.425287      2.425287
 2   25.841933°   6.000000°
      2.604938      2.604938      2.604938      2.604938      2.604938      2.604938      2.604938      2.604938      2.604938      2.604938
      2.604938      2.604938      2.604938      2.604938      2.604938      2.604938      2.604938      2.604938      2.604938      2.604938
      2.604938      2.604938      2.604938      2.604938      2.604938      2.604938      2.604938      2.604938      2.604938      2.604938
      2.604938      2.604938      2.604938      2.604938      2.604938      2.604938      2.604938      2.604938      2.604938      2.604938
      2.604938      2.604938      2.604938      2.604938      2.604938      2.604938      2.604938      2.604938      2.604938      2.604938
      2.604938      2.604938      2.604938      2.604938      2.604938      2.604938      2.604938      2.604938      2.604938      2.604938
 3   33.557310°   6.000000°
      2.813333      2.813333      2.813333      2.813333      2.813333      2.813333      2.813333      2.813333      2.813333      2.813333
      2.813333      2.813333      2.813333      2.813333      2.813333      2.813333      2.813333      2.813333      2.813333      2.813333
      2.813333      2.813333      2.813333      2.813333      2.813333      2.813333      2.813333      2.813333      2.813333      2.813333
      2.813333      2.813333      2.813333      2.813333      2.813333      2.813333      2.813333      2.813333      2.813333      2.813333
